[2022-12-08 12:02:42] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-08 12:02:42] [INFO   ] configuration file was loaded from resources directory.
[2022-12-08 12:02:43] [SEVERE ] placing card 60 in slot 0
[2022-12-08 12:02:43] [SEVERE ] placing card 34 in slot 1
[2022-12-08 12:02:43] [SEVERE ] placing card 51 in slot 2
[2022-12-08 12:02:43] [SEVERE ] placing card 28 in slot 3
[2022-12-08 12:02:43] [SEVERE ] placing card 50 in slot 4
[2022-12-08 12:02:43] [SEVERE ] placing card 80 in slot 5
[2022-12-08 12:02:44] [SEVERE ] placing card 16 in slot 6
[2022-12-08 12:02:44] [SEVERE ] placing card 14 in slot 7
[2022-12-08 12:02:44] [SEVERE ] placing card 47 in slot 8
[2022-12-08 12:02:44] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 12:02:44] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 12:02:44] [SEVERE ] placing card 12 in slot 9
[2022-12-08 12:02:44] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 12:02:44] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 12:02:44] [SEVERE ] placing card 36 in slot 10
[2022-12-08 12:02:44] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 12:02:44] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 12:02:44] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 12:02:44] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 12:02:44] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 12:02:44] [SEVERE ] placing card 78 in slot 11
[2022-12-08 12:02:47] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 12:02:47] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 12:02:47] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 12:02:47] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 12:02:47] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 12:02:47] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 12:02:47] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 12:02:47] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 12:02:47] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 12:02:47] [SEVERE ] setting player 0 score to 1
