[2022-12-08 17:51:30] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-08 17:51:30] [INFO   ] configuration file was loaded from resources directory.
[2022-12-08 17:51:31] [SEVERE ] placing card 60 in slot 0
[2022-12-08 17:51:31] [SEVERE ] placing card 73 in slot 1
[2022-12-08 17:51:31] [SEVERE ] placing card 11 in slot 2
[2022-12-08 17:51:32] [SEVERE ] placing card 3 in slot 3
[2022-12-08 17:51:32] [SEVERE ] placing card 12 in slot 4
[2022-12-08 17:51:32] [SEVERE ] placing card 49 in slot 5
[2022-12-08 17:51:32] [SEVERE ] placing card 74 in slot 6
[2022-12-08 17:51:32] [SEVERE ] placing card 61 in slot 7
[2022-12-08 17:51:32] [SEVERE ] placing card 34 in slot 8
[2022-12-08 17:51:32] [SEVERE ] placing card 55 in slot 9
[2022-12-08 17:51:32] [SEVERE ] placing card 56 in slot 10
[2022-12-08 17:51:32] [SEVERE ] placing card 28 in slot 11
[2022-12-08 17:51:33] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:51:33] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:51:33] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:51:33] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:51:33] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:51:33] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:51:33] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:51:33] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:51:33] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:51:35] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:51:35] [SEVERE ] player 0 placing token on slot 4
[2022-12-08 17:51:35] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:51:35] [SEVERE ] player 0 placing token on slot 5
[2022-12-08 17:51:35] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:51:35] [SEVERE ] player 0 placing token on slot 6
[2022-12-08 17:51:35] [SEVERE ] removing player 0 token from slot 4
[2022-12-08 17:51:35] [SEVERE ] removing player 0 token from slot 5
[2022-12-08 17:51:35] [SEVERE ] removing player 0 token from slot 6
[2022-12-08 17:51:37] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:51:37] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:51:37] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:51:37] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:51:37] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:51:37] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:51:38] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:51:38] [SEVERE ] removing player 0 token from slot 1
