[2022-12-08 13:35:45] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-08 13:35:45] [INFO   ] configuration file was loaded from resources directory.
[2022-12-08 13:35:46] [SEVERE ] placing card 23 in slot 0
[2022-12-08 13:35:46] [SEVERE ] placing card 20 in slot 1
[2022-12-08 13:35:46] [SEVERE ] placing card 14 in slot 2
[2022-12-08 13:35:47] [SEVERE ] placing card 73 in slot 3
[2022-12-08 13:35:47] [SEVERE ] placing card 27 in slot 4
[2022-12-08 13:35:47] [SEVERE ] placing card 29 in slot 5
[2022-12-08 13:35:47] [SEVERE ] placing card 38 in slot 6
[2022-12-08 13:35:47] [SEVERE ] placing card 61 in slot 7
[2022-12-08 13:35:47] [SEVERE ] placing card 35 in slot 8
[2022-12-08 13:35:47] [SEVERE ] placing card 10 in slot 9
[2022-12-08 13:35:47] [SEVERE ] placing card 37 in slot 10
[2022-12-08 13:35:47] [SEVERE ] placing card 41 in slot 11
[2022-12-08 13:35:48] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:35:48] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:35:48] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 13:35:48] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 13:35:48] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 13:35:48] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:35:48] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:35:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:35:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 13:35:48] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 13:35:49] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:35:49] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:35:49] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 13:35:49] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 13:35:49] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 13:35:49] [SEVERE ] player 0 placing token on slot 2
