[2022-12-08 17:31:07] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-08 17:31:07] [INFO   ] configuration file was loaded from resources directory.
[2022-12-08 17:31:08] [SEVERE ] placing card 30 in slot 0
[2022-12-08 17:31:08] [SEVERE ] placing card 20 in slot 1
[2022-12-08 17:31:08] [SEVERE ] placing card 50 in slot 2
[2022-12-08 17:31:08] [SEVERE ] placing card 25 in slot 3
[2022-12-08 17:31:08] [SEVERE ] placing card 2 in slot 4
[2022-12-08 17:31:08] [SEVERE ] placing card 13 in slot 5
[2022-12-08 17:31:08] [SEVERE ] placing card 38 in slot 6
[2022-12-08 17:31:08] [SEVERE ] placing card 74 in slot 7
[2022-12-08 17:31:09] [SEVERE ] placing card 31 in slot 8
[2022-12-08 17:31:09] [SEVERE ] placing card 46 in slot 9
[2022-12-08 17:31:09] [SEVERE ] placing card 5 in slot 10
[2022-12-08 17:31:09] [SEVERE ] placing card 32 in slot 11
[2022-12-08 17:31:10] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:31:10] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:31:10] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:31:10] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:31:10] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:31:10] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:31:10] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:31:10] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:31:10] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:31:11] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:11] [SEVERE ] player 0 placing token on slot 4
[2022-12-08 17:31:12] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:12] [SEVERE ] player 0 placing token on slot 5
[2022-12-08 17:31:12] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:31:12] [SEVERE ] player 0 placing token on slot 6
[2022-12-08 17:31:12] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:12] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:12] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:31:13] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:13] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:13] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:31:13] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:31:13] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:31:13] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:31:13] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:31:13] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:31:13] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:31:13] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:31:13] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:31:13] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:13] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:13] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:31:13] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:31:13] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:31:14] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:31:14] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:31:14] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:14] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:31:14] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:31:14] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:14] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:31:14] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:31:14] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:31:14] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:14] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:14] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:31:14] [SEVERE ] removing player 0 token from slot 4
[2022-12-08 17:31:14] [SEVERE ] removing player 0 token from slot 5
[2022-12-08 17:31:14] [SEVERE ] removing player 0 token from slot 6
[2022-12-08 17:31:14] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:31:14] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:31:14] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:31:14] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:31:14] [SEVERE ] player 0 placing token on slot 6
[2022-12-08 17:31:49] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:31:49] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:31:49] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:31:49] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:31:49] [SEVERE ] removing player 0 token from slot 6
[2022-12-08 17:31:49] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:31:49] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:31:49] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:31:49] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:31:50] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:31:50] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:31:50] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:31:50] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:31:50] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:31:50] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:50] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:50] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:31:51] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:51] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:51] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:31:51] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:51] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:31:51] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:31:52] [SEVERE ] Key 59 was pressed by player 1
[2022-12-08 17:31:52] [SEVERE ] player 1 placing token on slot 7
[2022-12-08 17:31:52] [SEVERE ] Key 76 was pressed by player 1
[2022-12-08 17:31:52] [SEVERE ] player 1 placing token on slot 6
[2022-12-08 17:31:52] [SEVERE ] Key 75 was pressed by player 1
[2022-12-08 17:31:52] [SEVERE ] player 1 placing token on slot 5
[2022-12-08 17:31:52] [SEVERE ] removing player 1 token from slot 7
[2022-12-08 17:31:52] [SEVERE ] removing player 1 token from slot 6
[2022-12-08 17:31:52] [SEVERE ] removing player 1 token from slot 5
[2022-12-08 17:31:52] [SEVERE ] Key 59 was pressed by player 1
[2022-12-08 17:31:52] [SEVERE ] player 1 placing token on slot 7
[2022-12-08 17:31:52] [SEVERE ] Key 76 was pressed by player 1
[2022-12-08 17:31:52] [SEVERE ] player 1 placing token on slot 6
[2022-12-08 17:31:52] [SEVERE ] Key 75 was pressed by player 1
[2022-12-08 17:31:52] [SEVERE ] player 1 placing token on slot 5
[2022-12-08 17:31:53] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:31:53] [SEVERE ] Key 59 was pressed by player 1
[2022-12-08 17:31:53] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:31:53] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:31:53] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:31:53] [SEVERE ] removing player 1 token from slot 7
[2022-12-08 17:31:53] [SEVERE ] removing player 1 token from slot 6
[2022-12-08 17:31:53] [SEVERE ] removing player 1 token from slot 5
[2022-12-08 17:31:53] [SEVERE ] Key 76 was pressed by player 1
[2022-12-08 17:31:53] [SEVERE ] player 1 placing token on slot 6
[2022-12-08 17:31:53] [SEVERE ] Key 75 was pressed by player 1
[2022-12-08 17:31:53] [SEVERE ] player 1 placing token on slot 5
[2022-12-08 17:31:53] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:31:53] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:31:53] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:31:53] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:31:54] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 17:31:54] [SEVERE ] player 1 placing token on slot 10
[2022-12-08 17:31:54] [SEVERE ] Key 44 was pressed by player 1
