[2022-12-08 14:06:45] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-08 14:06:45] [INFO   ] configuration file was loaded from resources directory.
[2022-12-08 14:06:46] [SEVERE ] placing card 37 in slot 0
[2022-12-08 14:06:46] [SEVERE ] placing card 62 in slot 1
[2022-12-08 14:06:46] [SEVERE ] placing card 75 in slot 2
[2022-12-08 14:06:46] [SEVERE ] placing card 33 in slot 3
[2022-12-08 14:06:46] [SEVERE ] placing card 52 in slot 4
[2022-12-08 14:06:46] [SEVERE ] placing card 40 in slot 5
[2022-12-08 14:06:46] [SEVERE ] placing card 74 in slot 6
[2022-12-08 14:06:46] [SEVERE ] placing card 17 in slot 7
[2022-12-08 14:06:46] [SEVERE ] placing card 68 in slot 8
[2022-12-08 14:06:47] [SEVERE ] placing card 69 in slot 9
[2022-12-08 14:06:47] [SEVERE ] placing card 26 in slot 10
[2022-12-08 14:06:47] [SEVERE ] placing card 70 in slot 11
[2022-12-08 14:06:47] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 14:06:47] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 14:06:47] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 14:06:47] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 14:06:47] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 14:06:47] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 14:06:48] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 14:06:48] [SEVERE ] player 0 placing token on slot 4
[2022-12-08 14:06:48] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 14:06:48] [SEVERE ] player 0 placing token on slot 5
[2022-12-08 14:06:48] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 14:06:48] [SEVERE ] player 0 placing token on slot 6
[2022-12-08 14:06:48] [SEVERE ] Key 90 was pressed by player 0
[2022-12-08 14:06:48] [SEVERE ] player 0 placing token on slot 8
[2022-12-08 14:06:48] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 14:06:48] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 14:06:48] [SEVERE ] Key 67 was pressed by player 0
[2022-12-08 14:06:48] [SEVERE ] player 0 placing token on slot 10
[2022-12-08 14:06:49] [SEVERE ] Key 82 was pressed by player 0
[2022-12-08 14:06:49] [SEVERE ] player 0 placing token on slot 3
[2022-12-08 14:06:49] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 14:06:50] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 14:06:50] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 14:06:51] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:51] [SEVERE ] Key 67 was pressed by player 0
[2022-12-08 14:06:51] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 14:06:51] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 14:06:51] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:51] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 14:06:52] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:52] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 14:06:53] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:53] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:53] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:53] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:53] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:54] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:54] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:55] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:55] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:55] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 14:06:56] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 14:06:56] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 14:06:56] [SEVERE ] Key 67 was pressed by player 0
[2022-12-08 14:06:56] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 14:06:57] [SEVERE ] Key 90 was pressed by player 0
[2022-12-08 14:06:58] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 14:06:58] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:06:58] [SEVERE ] Key 67 was pressed by player 0
[2022-12-08 14:06:59] [SEVERE ] Key 67 was pressed by player 0
[2022-12-08 14:06:59] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 14:06:59] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 14:07:00] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 14:07:00] [SEVERE ] Key 67 was pressed by player 0
[2022-12-08 14:07:01] [SEVERE ] Key 67 was pressed by player 0
[2022-12-08 14:07:01] [SEVERE ] Key 70 was pressed by player 0
[2022-12-08 14:07:02] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 14:07:02] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 14:07:02] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 14:07:02] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 14:07:02] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 14:07:02] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 14:07:03] [SEVERE ] Key 85 was pressed by player 1
[2022-12-08 14:07:03] [SEVERE ] player 1 placing token on slot 0
[2022-12-08 14:07:03] [SEVERE ] Key 59 was pressed by player 1
[2022-12-08 14:07:03] [SEVERE ] player 1 placing token on slot 7
[2022-12-08 14:07:04] [SEVERE ] Key 76 was pressed by player 1
[2022-12-08 14:07:04] [SEVERE ] player 1 placing token on slot 6
[2022-12-08 14:07:04] [SEVERE ] Key 75 was pressed by player 1
[2022-12-08 14:07:04] [SEVERE ] player 1 placing token on slot 5
[2022-12-08 14:07:04] [SEVERE ] Key 74 was pressed by player 1
[2022-12-08 14:07:04] [SEVERE ] player 1 placing token on slot 4
[2022-12-08 14:07:04] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:04] [SEVERE ] player 1 placing token on slot 10
[2022-12-08 14:07:05] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:05] [SEVERE ] player 1 placing token on slot 9
[2022-12-08 14:07:05] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:07] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:07] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:07] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:07] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:07] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:08] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:08] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:08] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:08] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:08] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:08] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:08] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:08] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:09] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:09] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:09] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:09] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:09] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:09] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:09] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:09] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:10] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:10] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 14:07:10] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 14:07:10] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 14:07:11] [SEVERE ] Key 47 was pressed by player 1
[2022-12-08 14:07:11] [SEVERE ] Key 47 was pressed by player 1
[2022-12-08 14:07:11] [SEVERE ] Key 47 was pressed by player 1
[2022-12-08 14:07:11] [SEVERE ] Key 47 was pressed by player 1
[2022-12-08 14:07:12] [SEVERE ] Key 47 was pressed by player 1
