[2022-12-08 13:34:02] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-08 13:34:02] [INFO   ] configuration file was loaded from resources directory.
[2022-12-08 13:34:03] [SEVERE ] placing card 48 in slot 0
[2022-12-08 13:34:03] [SEVERE ] placing card 70 in slot 1
[2022-12-08 13:34:03] [SEVERE ] placing card 69 in slot 2
[2022-12-08 13:34:03] [SEVERE ] placing card 67 in slot 3
[2022-12-08 13:34:03] [SEVERE ] placing card 8 in slot 4
[2022-12-08 13:34:03] [SEVERE ] placing card 33 in slot 5
[2022-12-08 13:34:03] [SEVERE ] placing card 54 in slot 6
[2022-12-08 13:34:03] [SEVERE ] placing card 66 in slot 7
[2022-12-08 13:34:03] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:03] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:03] [SEVERE ] placing card 65 in slot 8
[2022-12-08 13:34:03] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 13:34:03] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 13:34:04] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 13:34:04] [SEVERE ] placing card 75 in slot 9
[2022-12-08 13:34:04] [SEVERE ] placing card 32 in slot 10
[2022-12-08 13:34:04] [SEVERE ] placing card 21 in slot 11
[2022-12-08 13:34:04] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:04] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 13:34:04] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 13:34:04] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:04] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 13:34:04] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:34:04] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 13:34:04] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 13:34:05] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:05] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:05] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 13:34:05] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 13:34:05] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 13:34:05] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:34:05] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 13:34:05] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:05] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 13:34:05] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 13:34:15] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:15] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:16] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 13:34:16] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 13:34:17] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 13:34:17] [SEVERE ] player 0 placing token on slot 11
[2022-12-08 13:34:17] [SEVERE ] player 0 placing token on slot 11
[2022-12-08 13:34:17] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:17] [SEVERE ] removing player 0 token from slot 9
[2022-12-08 13:34:17] [SEVERE ] removing player 0 token from slot 11
[2022-12-08 13:34:18] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 13:34:18] [SEVERE ] player 0 placing token on slot 11
[2022-12-08 13:34:19] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 13:34:19] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 13:34:20] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 13:34:20] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 13:34:20] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 13:34:20] [SEVERE ] removing player 0 token from slot 11
[2022-12-08 13:34:20] [SEVERE ] removing player 0 token from slot 9
[2022-12-08 13:34:20] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 13:34:21] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 13:34:21] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 13:34:21] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 13:34:21] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 13:34:22] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:22] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:22] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:22] [SEVERE ] removing player 0 token from slot 9
[2022-12-08 13:34:22] [SEVERE ] removing player 0 token from slot 9
[2022-12-08 13:34:22] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:22] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 13:34:22] [SEVERE ] player 0 placing token on slot 11
[2022-12-08 13:34:22] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 13:34:22] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 13:34:23] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:23] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:23] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:23] [SEVERE ] removing player 0 token from slot 11
[2022-12-08 13:34:23] [SEVERE ] removing player 0 token from slot 9
[2022-12-08 13:34:23] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:23] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 13:34:23] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 13:34:23] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 13:34:23] [SEVERE ] player 0 placing token on slot 11
[2022-12-08 13:34:24] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:24] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:24] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:24] [SEVERE ] removing player 0 token from slot 9
[2022-12-08 13:34:24] [SEVERE ] removing player 0 token from slot 11
[2022-12-08 13:34:24] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:24] [SEVERE ] Key 86 was pressed by player 0
[2022-12-08 13:34:24] [SEVERE ] player 0 placing token on slot 11
[2022-12-08 13:34:24] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 13:34:24] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 13:34:24] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 13:34:24] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:24] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 13:34:24] [SEVERE ] removing player 0 token from slot 11
[2022-12-08 13:34:24] [SEVERE ] removing player 0 token from slot 9
[2022-12-08 13:34:24] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 13:34:25] [SEVERE ] Key 90 was pressed by player 0
[2022-12-08 13:34:25] [SEVERE ] player 0 placing token on slot 8
[2022-12-08 13:34:25] [SEVERE ] Key 88 was pressed by player 0
[2022-12-08 13:34:25] [SEVERE ] player 0 placing token on slot 9
[2022-12-08 13:34:26] [SEVERE ] Key 67 was pressed by player 0
[2022-12-08 13:34:26] [SEVERE ] player 0 placing token on slot 10
